"Progress","Duration..in.seconds.","Finished","UserLanguage","Q1","Q4Q4","Q4Q5","Q4Q6","Q4Q7","Q4Q8","Q4Q9","Q4Q10","Q4Q11","Q4Q12","Q4Q13","Q4Q14","Q4Score","Q4Alphabet","Q4Greetings","Q4IntrotoRussian","Q4PersonalPronounsPoss","Q4Calendar","Q4Score_pct","Q4Alphabet_pct","Q4Greetings_pct","Q4IntrotoRussian_pct","Q4PersonalPronounsPoss_pct","Q4Calendar_pct"
"100",57,"TRUE","EN","lx2241",0,1,0,1,1,1,1,1,2,"numbers!",0,4,1,1,2,0,2,66.6666666666667,100,100,66.6666666666667,0,100
"100",86,"TRUE","EN","cy2503",0,1,0,1,1,1,1,1,2,"Japanese",0,4,1,1,2,0,2,66.6666666666667,100,100,66.6666666666667,0,100
"100",75,"TRUE","EN","esg2162",0,1,0,1,1,0,1,0,0,"Spanish",0,3,1,1,2,0,1,50,100,100,66.6666666666667,0,50
"100",79,"TRUE","EN","mkm2203",0,0,1,1,1,0,1,1,2,"unsure",0,3,0,1,2,1,1,50,0,100,66.6666666666667,100,50
"100",93,"TRUE","EN","mz2635",0,1,0,1,1,0,1,1,2,"greeting",0,3,1,1,2,0,1,50,100,100,66.6666666666667,0,50
"100",139,"TRUE","EN","qz2356",0,0,0,1,0,1,1,1,2,"Japanese",0,2,0,1,1,0,1,33.3333333333333,0,100,33.3333333333333,0,50
"100",128,"TRUE","EN","xt2213",0,0,0,1,1,1,1,0,2,"food",0,3,0,1,2,0,2,50,0,100,66.6666666666667,0,100
"100",101,"TRUE","EN","sl4391",0,0,1,0,1,1,1,1,2,"spanish",0,3,0,0,1,1,2,50,0,0,33.3333333333333,100,100
"100",266,"TRUE","EN","xz2819",0,1,1,1,1,1,0,1,2,"how to introduce myself",0,5,1,1,2,1,2,83.3333333333333,100,100,66.6666666666667,100,100
"NA",100,"NA","NA","sw3323",1,0,0,1,1,0,1,0,0,"conversation",0,3,0,1,3,0,1,50,0,100,100,0,50
